Longitude,Latitude,Pixel,Scan,Longitude180,TMC_X,TMC_Y,Inside_TMC_BBox,Coarse_Valid_Overlap
193.506146,-89.8595827,8700,18300,-166.493854,-994.4369933857306,-4140.171667137536,True,False
193.179253,-89.8589567,8800,18300,-166.82074699999998,-975.127736022274,-4164.2603504517565,True,False
192.855286,-89.8583262,8900,18300,-167.14471400000002,-955.8200863071794,-4188.347097884657,True,False
192.534228,-89.8576913,9000,18300,-167.46577200000002,-936.5139132674824,-4212.430745485751,True,False
192.21606,-89.8570521,9100,18300,-167.78394000000003,-917.2089911315472,-4236.510131580418,True,False
191.900763,-89.8564084,9200,18300,-168.09923700000002,-897.9070187675053,-4260.592964861274,True,False
191.588315,-89.8557606,9300,18300,-168.41168500000003,-878.605669258148,-4284.669187381202,True,False
191.278698,-89.8551085,9400,18300,-168.72130200000004,-859.3067114745043,-4308.74645007934,True,False
190.971892,-89.8544523,9500,18300,-169.02810799999997,-840.0093104626443,-4332.820537063331,True,False
190.667874,-89.853792,9600,18300,-169.33212600000002,-820.7136340463393,-4356.893193473378,True,False
190.366625,-89.8531277,9700,18300,-169.633375,-801.4195856488648,-4380.963105335434,True,False
190.068122,-89.8524594,9800,18300,-169.93187799999998,-782.1273357718736,-4405.031972766142,True,False
189.772346,-89.8517872,9900,18300,-170.22765400000003,-762.8368244198227,-4429.098434569573,True,False
189.479274,-89.8511111,10000,18300,-170.52072599999997,-743.548223138162,-4453.164147656155,True,False
189.188885,-89.8504312,10100,18300,-170.81111499999997,-724.2613500501942,-4477.227731046055,True,False
188.901156,-89.8497476,10200,18300,-171.09884399999999,-704.9759043365311,-4501.287802250312,True,False
188.616065,-89.8490602,10300,18300,-171.383935,-685.6926064157702,-4525.348935145712,True,False
188.333591,-89.8483692,10400,18300,-171.666409,-666.4108535666699,-4549.406682950773,True,False
188.053711,-89.8476746,10500,18300,-171.94628899999998,-647.1308280285186,-4573.462593270435,True,False
187.776403,-89.8469765,10600,18300,-172.22359700000004,-627.8523548807804,-4597.515180438513,True,False
187.501645,-89.8462748,10700,18300,-172.498355,-608.5760833092934,-4621.568947199938,True,False
187.229413,-89.8455698,10800,18300,-172.77058699999998,-589.3008908372801,-4645.616375101764,True,False
186.959685,-89.8448613,10900,18300,-173.04031499999996,-570.0277966606047,-4669.664935076739,True,False
