source_x,source_y,reference_x,reference_y,source_map_x_m,source_map_y_m,reference_map_x_m,reference_map_y_m,final_residual_px,final_residual_nominal_m
272.125,164.875,272.73046875,166.06410217285156,569587.1484375,-102007.224609375,569590.17578125,-102013.17012023926,1.462577848702015,7.3128892435100745
83.125,165.625,83.80859375,165.1804656982422,568642.1484375,-102010.974609375,568645.56640625,-102008.75193786621,0.14840981421334878,0.7420490710667439
197.875,167.125,196.80859375,166.94772338867188,569215.8984375,-102018.474609375,569210.56640625,-102017.58822631836,1.7365424885485723,8.682712442742861
281.875,167.125,282.44140625,166.94772338867188,569635.8984375,-102018.474609375,569638.73046875,-102017.58822631836,0.09522395270646414,0.47611976353232066
326.875,168.625,326.58203125,168.71498107910156,569860.8984375,-102025.974609375,569859.43359375,-102026.42451477051,0.8957310577042559,4.47865528852128
82.375,170.125,82.92578125,169.59861755371094,568638.3984375,-102033.474609375,568641.15234375,-102030.84269714355,0.31058121251960236,1.5529060625980118
161.875,172.375,165.02734375,173.1331329345703,569035.8984375,-102044.724609375,569051.66015625,-102048.51527404785,2.658238123194036,13.29119061597018
187.375,173.125,188.86328125,173.1331329345703,569163.3984375,-102048.474609375,569170.83984375,-102048.51527404785,0.8533889480890817,4.266944740445409
272.125,174.625,271.84765625,174.900390625,569587.1484375,-102055.974609375,569585.76171875,-102057.3515625,1.0472740230024078,5.236370115012039
301.375,175.375,300.98046875,175.7840118408203,569733.3984375,-102059.724609375,569731.42578125,-102061.7696685791,1.1897216502184556,5.948608251092278
211.375,178.375,210.93359375,178.43490600585938,569283.3984375,-102074.724609375,569281.19140625,-102075.0241394043,1.1851068054914413,5.925534027457207
286.375,178.375,285.97265625,178.43490600585938,569658.3984375,-102074.724609375,569656.38671875,-102075.0241394043,1.0639658348191214,5.319829174095608
79.375,180.625,79.39453125,179.31854248046875,568623.3984375,-102085.974609375,568623.49609375,-102079.44232177734,1.2567633225665653,6.283816612832826
184.375,182.125,184.44921875,181.08580017089844,569148.3984375,-102093.474609375,569148.76953125,-102088.27861022949,0.9732900974183244,4.866450487091622
269.125,182.875,269.19921875,182.85305786132812,569572.1484375,-102097.224609375,569572.51953125,-102097.11489868164,0.6244000330659131,3.1220001653295655
216.625,185.125,217.11328125,186.3875732421875,569309.6484375,-102108.474609375,569312.08984375,-102114.78747558594,1.586098728708804,7.93049364354402
308.125,188.125,307.16015625,188.1548309326172,569767.1484375,-102123.474609375,569762.32421875,-102123.62376403809,1.6078970490329108,8.039485245164554
236.875,189.625,237.41796875,189.92208862304688,569410.8984375,-102130.974609375,569413.61328125,-102132.46005249023,0.622100681729361,3.110503408646805
202.375,191.125,202.98828125,192.57296752929688,569238.3984375,-102138.474609375,569241.46484375,-102145.71444702148,1.771236429677135,8.856182148385676
292.375,192.625,292.15234375,191.68934631347656,569688.3984375,-102145.974609375,569687.28515625,-102141.29634094238,1.0795681694151487,5.397840847075743
281.875,193.375,281.55859375,190.8057098388672,569635.8984375,-102149.724609375,569634.31640625,-102136.87815856934,2.4736934727389897,12.368467363694949
203.125,197.125,203.87109375,196.99111938476562,569242.1484375,-102168.474609375,569245.87890625,-102167.80520629883,0.19034354953751298,0.9517177476875649
215.875,197.125,216.23046875,196.99111938476562,569305.8984375,-102168.474609375,569307.67578125,-102167.80520629883,0.4265639511003386,2.1328197555016932
