source_x,source_y,reference_x,reference_y,dx_px,dy_px,displacement_px
1199.375,734.125,1894.625,723.5821533203125,695.25,-10.5428466796875,695.3299318425113
1232.375,745.375,1923.875,721.3299560546875,691.5,-24.0450439453125,691.9179244233611
1142.375,746.125,1840.625,737.0953369140625,698.25,-9.0296630859375,698.3083826759103
1551.875,753.625,2283.875,707.8167114257812,732.0,-45.80828857421875,733.431932289629
1207.625,758.875,1899.125,739.3475341796875,691.5,-19.5274658203125,691.7756658927542
1713.625,281.125,1229.875,261.8812255859375,-483.75,-19.2437744140625,484.1326113305107
2087.875,293.125,1949.875,273.1422424316406,-138.0,-19.982757568359375,139.43927208658192
2087.875,315.625,1947.625,297.91644287109375,-140.25,-17.70855712890625,141.36355787680125
2279.875,353.125,1081.375,279.8988342285156,-1198.5,-73.22616577148438,1200.7349088594005
2291.875,426.625,1981.375,397.0132141113281,-310.5,-29.611785888671875,311.9088133790332
2204.875,441.625,2170.375,448.81378173828125,-34.5,7.18878173828125,35.24100712069174
2261.875,446.875,2226.625,392.5088195800781,-35.25,-54.366180419921875,64.7938583003937
2261.125,457.375,2228.875,419.5351867675781,-32.25,-37.839813232421875,49.71834636695562
2238.625,468.625,1898.125,397.0132141113281,-340.5,-71.61178588867188,347.94898746535387
2148.625,629.125,1722.625,538.9017944335938,-426.0,-90.22320556640625,435.4494538091396
1624.375,740.875,788.875,658.2683715820312,-835.5,-82.60662841796875,839.5737639174919
2130.375,299.875,1989.375,277.6466369628906,-141.0,-22.228363037109375,142.7413749524276
2087.625,315.625,1946.625,297.91644287109375,-141.0,-17.70855712890625,142.10768098729827
2479.875,359.875,2655.375,390.256591796875,175.5,30.381591796875,178.1103341193653
2345.625,371.125,2403.375,381.247802734375,57.75,10.122802734375,58.630483839032664
2485.125,374.125,2707.125,412.7785949707031,222.0,38.653594970703125,225.33996628241331
2346.375,386.875,2376.375,385.752197265625,30.0,-1.122802734375,30.021004080148952
2617.875,388.375,2882.625,433.04840087890625,264.75,44.67340087890625,268.49259812160085
2769.375,411.625,3258.375,491.6055908203125,489.0,79.9805908203125,495.49762351394406
2765.625,589.375,3055.875,581.6935424804688,290.25,-7.68145751953125,290.3516269794684
2608.875,638.125,2455.125,633.494140625,-153.75,-4.630859375,153.81972356804906
2704.625,455.125,2395.625,415.0307922363281,-309.0,-40.094207763671875,311.59034884956964
3165.125,464.875,3401.375,502.8665771484375,236.25,37.9915771484375,239.28523237806732
3082.625,579.625,2685.875,514.1275634765625,-396.75,-65.4974365234375,402.1199779806292
3093.125,608.875,2861.375,556.9193725585938,-231.75,-51.95562744140625,237.5025257188441
3566.125,508.375,3402.625,509.6231689453125,-163.5,1.2481689453125,163.50476422941333
3599.125,542.875,3470.125,592.9545288085938,-129.0,50.07952880859375,138.37976443718486
3137.125,663.625,2430.625,707.8167114257812,-706.5,44.19171142578125,707.8807508039328
